Microsoft.Advisor
Microsoft.ApiManagement
Microsoft.Automation
Microsoft.Batch
Microsoft.Cache
Microsoft.Cdn
Microsoft.ClassicCompute
Microsoft.ClassicNetwork
Microsoft.ClassicStorage
Microsoft.Compute
Microsoft.ContainerInstance
Microsoft.ContainerRegistry
Microsoft.ContainerService
Microsoft.DataFactory
Microsoft.DataLakeStore
Microsoft.DBforMySQL
Microsoft.DBforPostgreSQL
Microsoft.Devices
Microsoft.DevTestLab
Microsoft.DocumentDB
Microsoft.EventGrid
Microsoft.EventHub
Microsoft.HDInsight
microsoft.insights
Microsoft.KeyVault
Microsoft.Logic
Microsoft.ManagedIdentity
Microsoft.Network
Microsoft.OperationalInsights
Microsoft.OperationsManagement
Microsoft.Relay
Microsoft.ResourceHealth
Microsoft.ResourcesTopology
Microsoft.Search
Microsoft.Security
Microsoft.ServiceBus
Microsoft.ServiceFabric
Microsoft.Sql
Microsoft.Storage
Microsoft.StreamAnalytics
Microsoft.Web
SuccessBricks.ClearDB
84codes.CloudAMQP
AppDynamics.APM
Aspera.Transfers
Auth0.Cloud
Citrix.Cloud
CloudSimple.PrivateCloudIaaS
Cloudyn.Analytics
Conexlink.MyCloudIT
Crypteron.DataSecurity
Dynatrace.DynatraceSaaS
Dynatrace.Ruxit
LiveArena.Broadcast
Lombiq.DotNest
Mailjet.Email
Microsoft.AAD
microsoft.aadiam
Microsoft.Addons
Microsoft.ADHybridHealthService
Microsoft.AlertsManagement
Microsoft.AnalysisServices
Microsoft.Authorization
Microsoft.AzureActiveDirectory
Microsoft.AzureStack
Microsoft.BatchAI
Microsoft.Billing
Microsoft.BingMaps
Microsoft.BizTalkServices
Microsoft.Blueprint
Microsoft.BotService
Microsoft.Capacity
Microsoft.CertificateRegistration
Microsoft.ClassicSubscription
Microsoft.ClassicInfrastructureMigrate
Microsoft.CognitiveServices
Microsoft.Commerce
Microsoft.Consumption
Microsoft.ContentModerator
Microsoft.CostManagement
Microsoft.CustomerInsights
Microsoft.DataBox
Microsoft.DataBoxEdge
Microsoft.Databricks
Microsoft.DataCatalog
Microsoft.DataLakeAnalytics
Microsoft.DataMigration
Microsoft.DBforMariaDB
Microsoft.DomainRegistration
Microsoft.DynamicsLcs
Microsoft.Features
Microsoft.GuestConfiguration
Microsoft.HanaOnAzure
Microsoft.HardwareSecurityModules
Microsoft.ImportExport
Microsoft.Intune
Microsoft.IoTCentral
Microsoft.IoTSpaces
Microsoft.Kusto
Microsoft.LabServices
Microsoft.LocationServices
Microsoft.LocationBasedServices
Microsoft.LogAnalytics
Microsoft.MachineLearning
Microsoft.MachineLearningExperimentation
Microsoft.MachineLearningCompute
Microsoft.MachineLearningServices
Microsoft.MachineLearningModelManagement
Microsoft.ManagedLab
Microsoft.Management
Microsoft.Maps
Microsoft.Marketplace
Microsoft.MarketplaceApps
Microsoft.MarketplaceOrdering
Microsoft.Media
Microsoft.Migrate
Microsoft.NetApp
Microsoft.NotificationHubs
Microsoft.OffAzure
Microsoft.PolicyInsights
Microsoft.Portal
Microsoft.PowerBI
Microsoft.PowerBIDedicated
Microsoft.RecoveryServices
Microsoft.Resources
Microsoft.SaaS
Microsoft.Scheduler
Microsoft.SecurityGraph
Microsoft.ServiceFabricMesh
Microsoft.SignalRService
Microsoft.Solutions
Microsoft.StorageSync
Microsoft.StorSimple
Microsoft.Subscription
microsoft.support
Microsoft.TimeSeriesInsights
microsoft.visualstudio
Microsoft.WindowsIoT
Microsoft.WorkloadMonitor
Myget.PackageManagement
NewRelic.APM
nuubit.nextgencdn
Paraleap.CloudMonix
